# header_lines: 10
# header_version: 1.0
# data_version: 1.0
# reserved_1: no_value_at_present
# reserved_2: no_value_at_present
# purpose: this table matches the 3-digit esID to the 16 digit sen55 ID
# data_column_list: esID, sen55, site
# esID: esID is a 3-digit label on the unit (leading 0 may be missing in this file)
# sen55: sen55 ID is a 16-char string written in the raw EnvSensor data files
# site: distribution site
esID,sen55,site
11,C796DB182B49FC0C,site_01
12,E78769BAFA9BE9E7,site_01
13,864309C10F4503E5,site_01
14,5EF90278180335FD,site_01
15,D2AF4B20BF0AF022,site_01
16,737C91DD541247FF,site_01
17,5F6657B2F6CB2DA8,site_01
18,3A76A55500F51D98,site_01
19,10463BCBA18E0093,site_01
20,9E4408489E08E551,site_01
21,4E178BDED0755928,site_01
22,C3FF41A807B48C24,site_01
23,129D7281D7AE0DD4,site_02
24,D3D98FF675C808A7,site_02
25,33C3B0AB620873EA,site_02
26,B5523C8F678A2128,site_02
27,798FDD55B701138F,site_02
28,F9EF7180EB194E35,site_02
29,0478DA47268E03A4,site_02
30,939FB6829F8C0284,site_02
31,7B803EA155E78FCF,site_02
32,04B2AEBF41956857,site_02
33,8637104B52CDC801,site_02
34,4CA16496515266BE,site_02
35,056C8FDFDB965372,site_03
36,75216823C4DF8447,site_03
37,F6AE421F2DBB6304,site_03
38,97C98EA630B1438F,site_03
39,D72A8ED10D20A021,site_03
40,43D4B1025097CC43,site_03
41,5A00EE415EF4BD2C,site_03
42,DCC78FB0939C849D,site_03
43,C53FA70647A5D557,site_03
44,487A802301CE8147,site_03
45,E9D0F8A0C2B7A0A9,site_03
46,5F42A2CEE7EDFC5B,site_03
47,2266534987D89137,site_03
48,F491437702FA6836,site_03
49,3AAD3269304902B2,reserved
50,5A47710471D7BB44,reserved
51,898DDC9C128CDE76,site_03
52,BB73965F6F3BC28D,site_03
53,209CC95AA031197C,site_03
54,BC1654EA40BD4747,site_03
55,135FE63E8E695D5A,site_03
56,58D90E4D5B9EA6D6,site_03
57,AAE8CC303BB4278C,site_01
58,2D51DDBA456BBF52,site_01
59,88AAC799C2B25175,site_01
60,8FBCB4359A3F71D5,site_01
61,4355C6978A325AA4,site_01
62,14B483A37B9A23E6,site_01
63,9266D06F237F8C99,site_01
64,4A8128BD094D1A31,site_01
65,15C5E5CAD398411A,site_01
66,EF7084B97DD18E3C,site_01
67,BCD5E9A3D91EFEDF,site_01
68,F9970D641437CECB,site_01
69,D68AC69E5FB20127,site_01
70,0B3D7AE82F884CA9,site_01
71,C3349B86C59784F1,site_01
72,0DFD8F2872691167,site_01
73,E7873FFE697CCC1A,site_01
74,E2EAC53AAD022FFA,site_01
75,616DA6045E3F6B2D,site_01
76,3F5456C2FC7B2F1F,site_01
77,DF1BFD9BA6A1A877,site_01
78,A9A214FE9639AC5E,site_01
79,BFF89ADFBF720CBD,site_01
80,A6FC482070FDA324,site_01
81,E351A39FEA4A13ED,site_02
82,57D0AEE2E7E823D8,site_02
83,34B10379CD5498E9,site_02
84,887191C75945E9F0,site_02
85,3CDCD31F6956356B,site_02
86,A55B69FEE45EBB43,site_02
87,B1857F7CDC56929A,site_02
88,2565A33C2C679028,site_02
89,FD3E0F0345459139,site_02
90,D6E0828DDB79719C,site_02
91,4DB38B8D89266959,site_02
92,25F72E930C6414FF,site_02
93,B4B95DDEAFC4C18A,site_02
94,7A998A862469B823,site_02
95,5885EABCF2F7D855,site_02
96,42FEA294D773B7B4,site_02
97,E305441A1AE4C44F,site_02
98,7A08D146F0874FC9,site_03
99,ADBD8C2F88DFB676,site_03
100,32F2596ABB3243F2,site_01
101,3E8B959110CA9C2F,site_01
102,A1E598CB501B6A43,site_01
103,CA3EE305079B53BE,site_01
104,D16617B499907B2C,site_01
105,4956CA34F22ADF04,site_01
106,CF166098FC9715E8,site_01
107,1B890E2E60D4D79A,site_01
108,26935EC3D94A9AEA,site_01
109,45170561D4CC0C59,site_01
110,7720FD91561F7675,site_01
111,DCDDEF772A8FABF1,site_01
112,D54944FE701A0E9B,site_01
113,A07E85E7F70E851A,site_01
114,7E107C5BB29A56B9,site_02
115,9E5161567658D09D,site_02
116,BF88D4D2875B8E25,site_02
117,EF8AD7BCA377F3AA,site_02
118,16598DDC7A046C60,site_02
119,6ED6FDE87C76EC47,site_02
120,065DC8D90D842FD7,site_02
121,765E909ACD4E8C47,site_02
122,DC396056A2ED4CFC,site_02
123,6EEF305BB73921A2,site_02
124,48B87549FFFB6B35,site_02
125,0581BC947E444217,site_02
126,1681E78A8B9779E9,site_02
127,4FED608EF149ED02,site_02
128,1205273720428C36,site_02
129,CCAF4576404AE456,site_02
130,E43532C346FEA45F,site_02
131,C2E1F613506D9B49,site_02
132,7023FD78344EE502,site_02
133,88864EAAAB7A54E5,site_02
134,6E8DF424B823CCE7,site_02
135,42B1322F3CB54EB5,site_03
136,819CB23D8A0D3744,site_03
137,84CA083C921BB133,site_03
138,911048F039C43E12,site_03
139,03CA739F0D656DDF,site_03
140,D79E516D97CD439D,site_03
141,7161CC3545C1CCED,site_03
142,975FF3570643651F,site_03
143,CD73450FEE0BF724,site_03
144,677DEF55148913D2,site_03
145,7C8BBEE5874FD9D6,site_03
146,0C3E968B3B65A562,site_03
147,FAB3E36A44F10685,site_03
148,688769D60E64C38F,site_03
149,AC46E82405C90984,site_03
150,6EEBF29F61DCB687,site_03
151,AD613F4C46609D64,site_03
152,BC618DA2FAF43B4A,site_03
153,B88DFC62D04F78A1,site_03
154,BEE71809F6025AED,site_03
155,6953F22BE03D1869,site_03
156,45B846DD235E7E46,site_03
157,E09A97D1714AC883,site_03
158,217D970AF5BAC632,site_03
159,D7D6B9F483054E2C,site_03
160,0EA34779A2BC6F9C,site_03
161,F98B93B0C2BB8D9D,site_03
162,510C550E9DFE712D,site_03
163,EC54D2E3BCC0B5E2,site_03_staging
164,C510B8A2EF06DAE4,site_03_staging
165,DAC4B52A30422F18,site_03_staging
166,854E49A76CEDBD9D,site_03_staging
167,03B0CC8A8AB7DE7F,site_03_staging
168,40C33626BEE7C470,site_03_staging
169,CC11746DD2D0AD30,site_03
170,CEEC811811D5802A,site_01
171,6BDB176401B3C19C,site_01
172,873A875F941A15C8,site_01
173,7C50330096EF6399,site_01
174,2EF5B78B20586BEF,site_04
175,FA2569FB72D37827,site_01
176,212EE0C466844CAD,site_03
177,A222D17D83A6DFC2,site_04
178,F79460CD65AD8969,site_03
179,F1B4AAAE334B9814,site_03
180,5E52CFFEB4AB2B18,site_03
181,E0CBC74FCF71918A,site_04
182,0F3DC33633199514,site_04
183,0097FB7B01501E1A,site_04
184,CF1DD49C06CE65B9,site_04
185,F5AF76139256FCAF,site_04
186,55BBC7308CF69B76,site_04
187,F23CE7BEF9B020A3,site_04
188,D8BA311B38D89CB1,site_04
189,B14F421E6A3534DE,site_04
190,6C2CDBD8885C7DA3,site_04
191,50E8AB5CA844740C,site_04
192,54B67E9BF30541E9,site_04
193,D75C0C7F29C057B4,site_04
194,E4EEA5CACF1E939C,site_04
195,E7E4965E10A7810F,site_04
196,B57DA94BD3162735,site_04
197,7F454E378C101D33,site_04
198,EB8523798A50DC7C,site_04
199,5A677822E70DDD27,site_04
200,B83516194109EB60,site_04
201,297D4AD259BB963A,site_04
202,B92712B083ABB566,site_04
203,304C051A2E5AFDE4,site_04
204,C578812680B2CB25,site_04
205,EC3F9255C8B2516C,site_04
206,1B6F93D7A2757B3F,site_04
207,D14000582C89E8CD,site_04
208,C7F25E506565951A,site_04
209,E54927B085DF430E,site_04
210,A61E20F0759CA76E,site_04
211,81C0BF0B293F7FD4,site_04
212,1787E4566B18D987,site_04
213,ED75DF78F52DC333,site_04
214,CE197D02298839A0,site_04
215,295C31D1510366A5,site_04
216,B934B63CF4E3357B,site_04
217,45B25255FB8B28AE,site_04
218,4B198C09ADFFE766,site_04
219,D650E0792ADC24C8,site_04
220,8D238B26F67D6D4C,site_04
221,2A2EBC27E77F4A67,site_04
222,C89BFB6AEECE10F9,site_04
